freq	eps_real	eps_img
2.830748e+14		
2.834972e+14		
2.837276e+14		
2.842513e+14		
2.843812e+14		
2.850051e+14		
2.850370e+14		
2.856268e+14		
2.856941e+14		
2.857591e+14		
2.859272e+14	3.991200e+00	
2.863525e+14	3.991363e+00	
2.865131e+14	3.991425e+00	
2.870127e+14	3.991617e+00	
2.872672e+14	3.991715e+00	
2.876745e+14	3.991871e+00	
2.880213e+14	3.992004e+00	
2.883377e+14	3.992126e+00	
2.887750e+14	3.992294e+00	
2.890021e+14	3.992381e+00	
2.895290e+14	3.992584e+00	
2.896683e+14	3.992637e+00	
2.902830e+14	3.992873e+00	
2.903362e+14	3.992894e+00	
2.910054e+14	3.993151e+00	
2.910373e+14	3.993163e+00	
2.916764e+14	3.993409e+00	
2.917910e+14	3.993453e+00	
2.923486e+14	3.993667e+00	
2.925451e+14	3.993742e+00	
2.927743e+14	3.993830e+00	
2.930226e+14	3.993926e+00	
2.932989e+14	3.994032e+00	
2.936983e+14	3.994185e+00	
2.940529e+14	3.994322e+00	
2.943753e+14	3.994445e+00	
2.948071e+14	3.994611e+00	
2.950540e+14	3.994706e+00	
2.955611e+14	3.994901e+00	
2.957340e+14	3.994967e+00	
2.963152e+14	3.995191e+00	
2.964158e+14	3.995229e+00	
2.970689e+14	3.995480e+00	
2.970989e+14	3.995492e+00	
2.977841e+14	3.995755e+00	
2.978232e+14	3.995770e+00	
2.984702e+14	3.996019e+00	
2.985770e+14	3.996060e+00	
2.991585e+14	3.996283e+00	
2.993309e+14	3.996349e+00	
2.998480e+14	3.996548e+00	
3.000848e+14	3.996639e+00	
3.005393e+14	3.996814e+00	
3.008391e+14	3.996929e+00	
3.012319e+14	3.997080e+00	
3.015929e+14	3.997218e+00	
3.019267e+14	3.997347e+00	
3.023471e+14	3.997508e+00	
3.026223e+14	3.997614e+00	
3.029694e+14	3.997747e+00	
3.031006e+14	3.997798e+00	
3.033201e+14	3.997882e+00	
3.038550e+14	3.998087e+00	
3.040192e+14	3.998150e+00	
3.046088e+14	3.998377e+00	
3.047201e+14	3.998420e+00	
3.050497e+14	3.998546e+00	
3.053628e+14	3.998667e+00	
3.054227e+14	3.998690e+00	
3.061166e+14	3.998956e+00	
3.061265e+14	3.998960e+00	
3.068326e+14	3.999231e+00	
3.068706e+14	3.999246e+00	
3.075400e+14	3.999503e+00	
3.076248e+14	3.999536e+00	
3.082486e+14	3.999775e+00	
3.083787e+14	3.999825e+00	
3.089595e+14	4.000048e+00	
3.091328e+14	4.000115e+00	
3.096716e+14	4.000322e+00	
3.098864e+14	4.000404e+00	
3.103855e+14	4.000596e+00	
3.106407e+14	4.000694e+00	
3.111011e+14	4.000871e+00	
3.113946e+14	4.000984e+00	
3.118180e+14	4.001146e+00	
3.121485e+14	4.001273e+00	
3.125367e+14	4.001423e+00	
3.129024e+14	4.001563e+00	
3.132571e+14	4.001699e+00	
3.136564e+14	4.001853e+00	
3.139793e+14	4.001977e+00	
3.144108e+14	4.002143e+00	
3.147032e+14	4.002255e+00	
3.151646e+14	4.002432e+00	
3.154289e+14	4.002534e+00	
3.159184e+14	4.002722e+00	
3.161558e+14	4.002813e+00	
3.166726e+14	4.003011e+00	
3.168845e+14	4.003093e+00	
3.172893e+14	4.003248e+00	
3.174266e+14	4.003301e+00	
3.176155e+14	4.003374e+00	
3.181805e+14	4.003591e+00	
3.183471e+14	4.003655e+00	
3.188523e+14	4.003849e+00	
3.189342e+14	4.003880e+00	
3.190811e+14	4.003937e+00	
3.196883e+14	4.004170e+00	
3.198168e+14	4.004219e+00	
3.204426e+14	4.004460e+00	
3.205538e+14	4.004502e+00	
3.211967e+14	4.004749e+00	
3.212930e+14	4.004787e+00	
3.219505e+14	4.005039e+00	
3.220335e+14	4.005071e+00	
3.227045e+14	4.005329e+00	
3.227758e+14	4.005356e+00	
3.234581e+14	4.005618e+00	
3.235203e+14	4.005642e+00	
3.242126e+14	4.005908e+00	
3.242661e+14	4.005929e+00	
3.249666e+14	4.006198e+00	
3.250136e+14	4.006216e+00	
3.257202e+14	4.006487e+00	
3.257624e+14	4.006503e+00	
3.264744e+14	4.006777e+00	
3.265134e+14	4.006792e+00	
3.272282e+14	4.007067e+00	
3.272663e+14	4.007081e+00	
3.279821e+14	4.007356e+00	
3.280209e+14	4.007371e+00	
3.287365e+14	4.007646e+00	
3.287767e+14	4.007661e+00	
3.294905e+14	4.007936e+00	
3.295348e+14	4.007953e+00	
3.302444e+14	4.008225e+00	
3.302947e+14	4.008245e+00	
3.309982e+14	4.008515e+00	
3.310558e+14	4.008537e+00	
3.317521e+14	4.008805e+00	
3.318192e+14	4.008830e+00	
3.325064e+14	4.009094e+00	
3.325839e+14	4.009124e+00	
